Player,Launch Angle
Patrick Reed (2017),9.86
Daniel Berger (2017),9.78
Russell Knox (2017),9.75
Wesley Bryan (2017),9.75
J.T. Poston (2017),9.7
Jim Herman (2017),9.59
Roberto Castro (2017),9.57
Mark Hubbard (2017),9.54
Brad Fritsch (2017),9.52
Seamus Power (2017),9.51
Grayson Murray (2017),9.5
Paul Casey (2017),9.47
Ben Martin (2017),9.47
Andres Gonzales (2017),9.42
Brandon Hagy (2017),9.37
Sergio Garcia (2017),9.31
Bryce Molder (2017),9.26
Mark Anderson (2017),9.19
Lucas Glover (2017),9.14
Ian Poulter (2017),9.02
Charles Howell III (2017),8.95
Ryan Armour (2017),8.94
Steven Bowditch (2017),8.93
Jonathan Randolph (2017),8.82
Brett Drewitt (2017),8.82
Nick Watney (2017),8.79
Ryan Brehm (2017),8.79
Kevin Tway (2017),8.77
Russell Henley (2017),8.73
Brian Campbell (2017),8.54
Boo Weekley (2017),8.47
Søren Kjeldsen (2017),8.42
Matt Jones (2017),8.37
Aaron Baddeley (2017),8.32
Rod Pampling (2017),8.17
Robert Streb (2017),8.08
Jhonattan Vegas (2017),8
Branden Grace (2017),7.92
Ollie Schniederjans (2017),6.71
Ricky Barnes (2017),6.36
Sam Saunders (2018),14.71
James Hahn (2018),13.96
Brian Gay (2018),13.94
Cody Gribble (2018),13.67
David Hearn (2018),13.47
Bud Cauley (2018),13.42
Retief Goosen (2018),13.4
Alex Cejka (2018),13.32
Beau Hossler (2018),13.3
Danny Lee (2018),13.28
Ryan Blaum (2018),13.2
Vaughn Taylor (2018),13.15
Brett Stegmaier (2018),13.15
Matt Atkins (2018),13.02
Satoshi Kodaira (2018),12.95
Tom Lovelady (2018),12.91
Francesco Molinari (2018),12.72
Cameron Tringale (2018),12.72
Kevin Chappell (2018),12.7
Jonas Blixt (2018),12.62
Michael Kim (2018),12.62
Austin Cook (2018),12.61
Graeme McDowell (2018),12.6
Chez Reavie (2018),12.54
Phil Mickelson (2018),12.53
Harold Varner III (2018),12.49
John Huh (2018),12.47
Sean O'Hair (2018),12.44
Anirban Lahiri (2018),12.41
Rickie Fowler (2018),12.38
Martin Piller (2018),12.38
Sung Kang (2018),12.37
Brian Harman (2018),12.31
Zach Johnson (2018),12.3
Whee Kim (2018),12.28
Jordan Spieth (2018),12.26
Blayne Barber (2018),12.25
Brice Garnett (2018),12.24
Cameron Percy (2018),12.21
Kelly Kraft (2018),12.18
Zac Blair (2018),12.18
Stephan Jaeger (2018),12.16
Pat Perez (2018),12.15
Jason Day (2018),12.14
Jason Kokrak (2018),12.12
Byeong Hun An (2018),12.1
Tyrrell Hatton (2018),12.1
Justin Rose (2018),12.09
D.A. Points (2018),12.09
Denny McCarthy (2018),12.08
Richy Werenski (2018),12.07
Bryson DeChambeau (2018),12.06
Wesley Bryan (2018),12.03
Joel Dahmen (2018),12.02
Brian Stuard (2018),11.99
Kyle Thompson (2018),11.96
Scott Piercy (2018),11.91
Rory McIlroy (2018),11.9
Webb Simpson (2018),11.89
Jonathan Byrd (2018),11.87
Xander Schauffele (2018),11.87
Troy Merritt (2018),11.86
Michael Thompson (2018),11.81
Cameron Smith (2018),11.81
Chad Campbell (2018),11.75
Tom Hoge (2018),11.73
Bronson Burgoon (2018),11.72
Johnson Wagner (2018),11.68
Louis Oosthuizen (2018),11.63
Jamie Lovemark (2018),11.62
Nick Taylor (2018),11.61
Matt Kuchar (2018),11.6
Chesson Hadley (2018),11.6
Hunter Mahan (2018),11.56
Keegan Bradley (2018),11.56
J.J. Henry (2018),11.54
Jimmy Walker (2018),11.5
C.T. Pan (2018),11.48
Justin Thomas (2018),11.48
J.J. Spaun (2018),11.48
Abraham Ancer (2018),11.46
Jon Rahm (2018),11.41
Rory Sabbatini (2018),11.4
Shane Lowry (2018),11.39
Robert Garrigus (2018),11.37
Tyrone Van Aswegen (2018),11.34
Scott Stallings (2018),11.3
Billy Horschel (2018),11.29
Martin Flores (2018),11.28
Patrick Cantlay (2018),11.27
Ben Crane (2018),11.26
Ryan Palmer (2018),11.24
Kiradech Aphibarnrat (2018),11.23
Peter Malnati (2018),11.22
Kevin Kisner (2018),11.19
Charley Hoffman (2018),11.16
Dustin Johnson (2018),11.15
Adam Hadwin (2018),11.1
Hideki Matsuyama (2018),11.09
Luke List (2018),11.07
Xinjun Zhang (2018),11.07
Greg Chalmers (2018),11.06
Billy Hurley III (2018),11.06
Zecheng Dou (2018),11.04
Daniel Berger (2018),11.04
Dominic Bozzelli (2018),11.01
Ben Silverman (2018),10.95
J.B. Holmes (2018),10.89
Martin Laird (2018),10.89
Jason Dufner (2018),10.85
Gary Woodland (2018),10.85
Brandt Snedeker (2018),10.83
Trey Mullinax (2018),10.82
Shawn Stefani (2018),10.81
Andrew Landry (2018),10.8
Daniel Summerhays (2018),10.79
Bill Haas (2018),10.78
Chris Kirk (2018),10.77
Matt Every (2018),10.73
Mackenzie Hughes (2018),10.71
David Lingmerth (2018),10.67
Tommy Fleetwood (2018),10.65
Patton Kizzire (2018),10.63
Si Woo Kim (2018),10.62
Fabián Gómez (2018),10.58
Ryan Moore (2018),10.55
Grayson Murray (2018),10.55
Kyle Stanley (2018),10.53
Rafa Cabrera Bello (2018),10.51
Aaron Wise (2018),10.51
Chris Stroud (2018),10.47
Brooks Koepka (2018),10.47
Scott Brown (2018),10.46
Keith Mitchell (2018),10.45
Steve Wheatcroft (2018),10.42
Brandon Harkins (2018),10.4
Henrik Stenson (2018),10.37
Tyler Duncan (2018),10.37
Jim Furyk (2018),10.36
Kevin Streelman (2018),10.35
Marc Leishman (2018),10.29
Nate Lashley (2018),10.24
Tony Finau (2018),10.24
Derek Fathauer (2018),10.22
Roberto Díaz (2018),10.13
Emiliano Grillo (2018),10.12
Stewart Cink (2018),10.1
Brendan Steele (2018),10.1
Patrick Rodgers (2018),10.09
Bubba Watson (2018),10.07
Alex Noren (2018),10.06
Jonathan Randolph (2018),10.05
J.T. Poston (2018),10.03
William McGirt (2018),10.02
Patrick Reed (2018),9.94
Charl Schwartzel (2018),9.91
Branden Grace (2018),9.87
