Player,AvgClubheadSpeed
Chris Stroud (2017),111.75
Chad Campbell (2017),111.71
Troy Merritt (2017),111.64
Kelly Kraft (2017),111.6
Russell Knox (2017),111.53
Miguel Angel Carballo (2017),111.49
Steve Wheatcroft (2017),111.43
Jonas Blixt (2017),111.31
Blayne Barber (2017),111.27
Nicholas Lindheim (2017),111.22
Rafa Cabrera Bello (2017),111.17
Daniel Summerhays (2017),111.1
Michael Kim (2017),111.1
Rory Sabbatini (2017),111.07
Cameron Tringale (2017),110.85
Cameron Percy (2017),110.84
Richy Werenski (2017),110.78
Ian Poulter (2017),110.76
Brett Stegmaier (2017),110.74
William McGirt (2017),110.73
Derek Fathauer (2017),110.68
Johnson Wagner (2017),110.66
Chris Kirk (2017),110.27
Nick Taylor (2017),110.1
Camilo Villegas (2017),110.09
Chad Collins (2017),110.04
Webb Simpson (2017),109.97
Bryce Molder (2017),109.93
Ryan Armour (2017),109.89
David Hearn (2017),109.85
C.T. Pan (2017),109.85
Graeme McDowell (2017),109.61
Wesley Bryan (2017),109.52
Søren Kjeldsen (2017),109.39
Brian Harman (2017),109.35
Ernie Els (2017),109.18
Ryan Blaum (2017),109.09
Kyle Reifers (2017),109.07
John Huh (2017),108.97
Chez Reavie (2017),108.88
Billy Hurley III (2017),108.71
Matt Kuchar (2017),108.57
Zach Johnson (2017),108.36
Ryan Moore (2017),108.33
Greg Chalmers (2017),108.27
D.A. Points (2017),108.26
Carl Pettersson (2017),108.24
Peter Malnati (2017),108.21
Spencer Levin (2017),107.86
Alex Cejka (2017),107.59
Ben Crane (2017),107.37
Jim Furyk (2017),107.33
K.J. Choi (2017),107.24
Vaughn Taylor (2017),106.95
Steven Alker (2017),106.69
Brian Gay (2017),106.62
Ken Duke (2017),106.45
Tim Wilkinson (2017),105.85
Zac Blair (2017),105.85
Brian Stuard (2017),105.75
Jason Bohn (2017),105.66
Keith Mitchell (2018),124.83
Peter Uihlein (2018),122.99
Gary Woodland (2018),122.68
Brooks Koepka (2018),122.42
Kevin Tway (2018),122.13
Jhonattan Vegas (2018),121.87
Tony Finau (2018),121.52
Luke List (2018),121.44
Rory McIlroy (2018),121.42
Dustin Johnson (2018),121.38
Bubba Watson (2018),121.29
Trey Mullinax (2018),121.29
Adam Scott (2018),120.85
J.B. Holmes (2018),120.83
Adam Schenk (2018),120.59
Tom Lovelady (2018),120.53
Tiger Woods (2018),120.24
Lanto Griffin (2018),119.4
Ollie Schniederjans (2018),119.28
Kevin Chappell (2018),119.25
Conrad Shindler (2018),119.23
Charl Schwartzel (2018),118.79
Patrick Rodgers (2018),118.75
Seamus Power (2018),118.71
Grayson Murray (2018),118.59
Jon Rahm (2018),118.49
Nick Watney (2018),118.45
Hudson Swafford (2018),118.29
Jason Kokrak (2018),118.14
Matt Jones (2018),118.06
Charles Howell III (2018),118.01
Bryson DeChambeau (2018),117.83
Alex Noren (2018),117.78
Xander Schauffele (2018),117.61
Talor Gooch (2018),117.54
Paul Casey (2018),117.34
Justin Thomas (2018),117.27
Patrick Reed (2018),117.26
Jason Day (2018),117.26
Byeong Hun An (2018),117.2
Sam Ryder (2018),117.17
Robert Garrigus (2018),117.13
Tommy Fleetwood (2018),117.09
Justin Rose (2018),117
Ricky Barnes (2018),116.94
Hideki Matsuyama (2018),116.94
Brendan Steele (2018),116.88
Harold Varner III (2018),116.83
Pat Perez (2018),116.79
Harris English (2018),116.77
Brandon Harkins (2018),116.76
Ryan Palmer (2018),116.66
Zecheng Dou (2018),116.53
Phil Mickelson (2018),116.48
Matt Atkins (2018),116.19
Jamie Lovemark (2018),116.14
Ethan Tracy (2018),115.99
Rickie Fowler (2018),115.89
Henrik Stenson (2018),115.85
Charley Hoffman (2018),115.76
Scott Stallings (2018),115.72
J.T. Poston (2018),115.72
Tyrrell Hatton (2018),115.69
Jimmy Walker (2018),115.6
Patton Kizzire (2018),115.57
Stewart Cink (2018),115.54
Bill Haas (2018),115.39
Marc Leishman (2018),115.34
Lucas Glover (2018),115.31
