Player,Spin Rate OTT
David Lingmerth (2018),2928.3
David Hearn (2018),2906.2
Adam Scott (2018),2903.8
Alex Cejka (2018),2899.2
Charley Hoffman (2018),2888.6
Talor Gooch (2018),2886.6
Kyle Stanley (2018),2882.3
Kevin Na (2018),2879.4
Kevin Kisner (2018),2869.2
Ian Poulter (2018),2866.6
Henrik Stenson (2018),2865.8
Robert Streb (2018),2864.9
Russell Knox (2018),2864.2
Rickie Fowler (2018),2852.4
J.J. Henry (2018),2850.3
Charl Schwartzel (2018),2849.8
Troy Merritt (2018),2828.8
Ben Martin (2018),2828.8
Ryan Blaum (2018),2819
Stephan Jaeger (2018),2817.5
Rob Oppenheim (2018),2809.1
Brandon Harkins (2018),2801.2
Marc Leishman (2018),2799.8
Zac Blair (2018),2798.2
Andrew Putnam (2018),2790.5
Ben Silverman (2018),2784.8
Roberto Díaz (2018),2780.2
Keith Mitchell (2018),2779.6
Chris Stroud (2018),2773.5
Zecheng Dou (2018),2772.3
Hunter Mahan (2018),2762.6
Ollie Schniederjans (2018),2758.6
Mackenzie Hughes (2018),2757.6
Ethan Tracy (2018),2756.4
Charles Howell III (2018),2748.6
Xinjun Zhang (2018),2747.4
Russell Henley (2018),2744.4
William McGirt (2018),2740
Richy Werenski (2018),2734.6
Patrick Rodgers (2018),2731.1
Ryan Armour (2018),2728.7
Andrew Yun (2018),2727.1
Billy Hurley III (2018),2725.4
Francesco Molinari (2018),2725
Dominic Bozzelli (2018),2724.3
Louis Oosthuizen (2018),2721.3
Rod Pampling (2018),2719.1
Michael Thompson (2018),2718.6
Emiliano Grillo (2018),2715.5
Nick Watney (2018),2707.7
Kelly Kraft (2018),2705.7
Joel Dahmen (2018),2704.3
Tony Finau (2018),2704.1
Dustin Johnson (2018),2703.6
Phil Mickelson (2018),2702.9
Si Woo Kim (2018),2700.3
Bill Haas (2018),2699
Tom Hoge (2018),2698.4
Trey Mullinax (2018),2697.7
C.T. Pan (2018),2697.3
Bryson DeChambeau (2018),2696.5
Stewart Cink (2018),2695.3
Danny Lee (2018),2685.9
Aaron Baddeley (2018),2683
Paul Casey (2018),2679.6
Hudson Swafford (2018),2674.9
Tommy Fleetwood (2018),2666.3
Branden Grace (2018),2664.6
Brooks Koepka (2018),2660.4
Michael Kim (2018),2659.4
Lucas Glover (2018),2658
Kevin Chappell (2018),2654.9
Jonathan Randolph (2018),2650.9
Brian Stuard (2018),2649.6
Scott Brown (2018),2649.5
Hideki Matsuyama (2018),2649.3
Jonathan Byrd (2018),2646.5
Denny McCarthy (2018),2641.6
Patton Kizzire (2018),2641.3
Blayne Barber (2018),2639.8
Keegan Bradley (2018),2638.8
Tyrrell Hatton (2018),2630.5
Jim Furyk (2018),2625.8
Martin Piller (2018),2624.3
J.B. Holmes (2018),2622.5
Scott Piercy (2018),2621.2
Shane Lowry (2018),2618.3
Billy Horschel (2018),2617.6
Xander Schauffele (2018),2612.5
Harris English (2018),2609.4
Gary Woodland (2018),2609.1
Chad Campbell (2018),2606.5
Abraham Ancer (2018),2599.9
Martin Laird (2018),2597.1
Tom Lovelady (2018),2592.5
Daniel Berger (2018),2590.2
