Player,Sand Save %
Brian Harman (2016),55.26
Mark Wilson (2016),55
Freddie Jacobson (2016),55
Adam Hadwin (2016),54.78
Jordan Spieth (2016),54.7
Matt Kuchar (2016),54.61
Fabián Gómez (2016),54.55
Luke List (2016),54.4
Brian Stuard (2016),54.35
Alex Cejka (2016),54.32
Steve Stricker (2016),54.26
J.B. Holmes (2016),53.91
Jerry Kelly (2016),53.85
David Hearn (2016),53.73
Mark Hubbard (2016),53.72
Zach Johnson (2016),53.68
Troy Merritt (2016),53.44
Webb Simpson (2016),53.44
Chez Reavie (2016),53.24
Tyler Aldridge (2016),53.21
Retief Goosen (2016),53.19
Louis Oosthuizen (2016),53
Hideki Matsuyama (2016),52.99
Seung-Yul Noh (2016),52.94
Smylie Kaufman (2016),52.87
Scott Langley (2016),52.73
Brendon de Jonge (2016),52.71
Scott Piercy (2016),52.63
Erik Compton (2016),52.59
Hunter Mahan (2016),52.58
Michael Thompson (2016),52.44
Chad Collins (2016),52.42
Ricky Barnes (2016),52.38
Justin Thomas (2016),52.23
Jamie Lovemark (2016),52.23
Rickie Fowler (2016),52.03
Brooks Koepka (2016),51.75
Shawn Stefani (2016),51.49
Blayne Barber (2016),51.46
Morgan Hoffmann (2016),51.43
Sung Kang (2016),51.41
Peter Malnati (2016),51.39
Charl Schwartzel (2016),51.16
Colt Knost (2016),51.06
Adam Scott (2016),50.94
Martin Laird (2016),50.91
Ryan Moore (2016),50.83
Si Woo Kim (2016),50.79
Matt Jones (2016),50.75
Roberto Castro (2016),50.67
Luke Guthrie (2016),50.65
Paul Casey (2016),50.44
Vaughn Taylor (2016),50.42
Charles Howell III (2016),50.41
Bill Haas (2016),50.35
Tom Hoge (2016),50
Russell Knox (2016),50
Henrik Norlander (2016),50
Scott Brown (2016),50
Steve Marino (2016),49.56
Billy Horschel (2016),49.55
George McNeill (2016),49.47
Branden Grace (2016),49.45
Harris English (2016),49.32
Hudson Swafford (2016),49.09
Graeme McDowell (2016),49.04
Rod Pampling (2016),48.91
Gary Woodland (2016),48.85
