 Player,Putt 15-20 % Made
Jonas Blixt (2017),26.32
Chez Reavie (2017),26.32
Pat Perez (2017),25.81
Whee Kim (2017),25.42
Trey Mullinax (2017),25
Søren Kjeldsen (2017),24.68
Rory Sabbatini (2017),24.53
Matt Jones (2017),24.51
Russell Henley (2017),24.42
Billy Hurley III (2017),24.34
Carl Pettersson (2017),24.1
Dominic Bozzelli (2017),24.04
Graham DeLaet (2017),23.7
Cameron Tringale (2017),23.53
Zach Johnson (2017),23.53
Sergio Garcia (2017),23.53
Mackenzie Hughes (2017),23.32
Ernie Els (2017),23.21
Lucas Glover (2017),23.12
Harris English (2017),23.08
Rory McIlroy (2017),23.08
Justin Thomas (2017),23.02
Ryo Ishikawa (2017),22.99
Jamie Lovemark (2017),22.9
Luke Donald (2017),22.89
Adam Hadwin (2017),22.88
Wesley Bryan (2017),22.79
Brooks Koepka (2017),22.76
Scott Brown (2017),22.76
Blayne Barber (2017),22.56
Camilo Villegas (2017),22.33
Robert Streb (2017),21.94
Cameron Percy (2017),21.85
Zac Blair (2017),21.79
Cody Gribble (2017),21.77
Webb Simpson (2017),21.76
Seung-Yul Noh (2017),21.74
Sebastián Muñoz (2017),21.62
Hunter Mahan (2017),21.6
K.J. Choi (2017),21.55
Steven Bowditch (2017),21.52
Cameron Smith (2017),21.48
Nick Taylor (2017),21.47
Rickie Fowler (2017),21.37
Martin Laird (2017),21.37
Morgan Hoffmann (2017),21.26
Chris Kirk (2017),21.23
Ben Crane (2017),21.17
Andres Gonzales (2017),21.1
Harold Varner III (2017),21.05
Aaron Baddeley (2017),21
Jim Herman (2017),20.97
Charl Schwartzel (2017),20.93
Bryson DeChambeau (2017),20.9
Robert Garrigus (2017),20.8
Danny Lee (2017),20.78
Ryan Moore (2017),20.77
Scott Stallings (2017),20.74
Mark Anderson (2017),20.73
Jordan Spieth (2017),20.66
Bubba Watson (2017),20.56
Johnson Wagner (2017),20.51
Steve Wheatcroft (2017),20.51
Stewart Cink (2017),20.48
Rick Lamb (2017),20.45
Sean O'Hair (2017),20.45
Sung Kang (2017),20.39
Jason Kokrak (2017),20.36
Billy Horschel (2017),20.25
Gonzalo Fernandez-Castaño (2017),20.22
Alex Cejka (2017),20.18
Brian Gay (2017),20.16
David Lingmerth (2017),20.14
James Hahn (2017),20.13
Daniel Berger (2017),20
Mark Hubbard (2017),20
Patrick Cantlay (2017),20
Peter Malnati (2017),20
Emiliano Grillo (2017),20
Kevin Chappell (2017),19.83
Andrew Loupe (2017),19.79
Brandt Snedeker (2017),19.77
Jonathan Randolph (2017),19.75
C.T. Pan (2017),19.73
Seamus Power (2017),19.69
Ricky Barnes (2017),19.58
Ben Martin (2017),19.57
J.J. Spaun (2017),19.48
Smylie Kaufman (2017),19.2
Ryan Blaum (2017),19.18
Chris Stroud (2017),19.15
Grayson Murray (2017),19.1
Kyle Stanley (2017),19.09
J.B. Holmes (2017),19.05
Rafa Cabrera Bello (2017),18.95
Steven Alker (2017),18.95
Hudson Swafford (2017),18.87
Paul Casey (2017),18.8
Rod Pampling (2017),18.75
Daniel Summerhays (2017),18.64
Sam Saunders (2017),18.58
Martin Flores (2017),18.52
Michael Thompson (2017),18.48
Brian Harman (2017),18.33
Xander Schauffele (2017),18.31
J.J. Henry (2017),18.29
Charley Hoffman (2017),18.28
Bud Cauley (2017),18.12
Jason Dufner (2017),18.12
Byeong Hun An (2017),18.09
Chad Collins (2017),18.09
Marc Leishman (2017),17.97
Bill Haas (2017),17.93
Shane Lowry (2017),17.86
Ollie Schniederjans (2017),17.83
John Huh (2017),17.83
Jason Day (2017),17.78
Gary Woodland (2017),17.76
Tony Finau (2017),17.65
Michael Kim (2017),17.61
Si Woo Kim (2017),17.58
Derek Fathauer (2017),17.36
Richy Werenski (2017),17.16
Brendan Steele (2017),17.04
Retief Goosen (2017),16.9
Roberto Castro (2017),16.81
Patrick Rodgers (2017),16.67
Julián Etulain (2017),16.67
D.A. Points (2017),16.67
Matt Kuchar (2017),16.56
J.T. Poston (2017),16.54
Kelly Kraft (2017),16.54
Matt Every (2017),16.54
Jhonattan Vegas (2017),16.54
Ryan Armour (2017),16.5
Brian Stuard (2017),16.41
Greg Chalmers (2017),16.41
Ken Duke (2017),16.35
Louis Oosthuizen (2017),16.25
Troy Merritt (2017),16.11
Jim Furyk (2017),16
Kevin Streelman (2017),15.98
Jon Rahm (2017),15.87
Adam Scott (2017),15.85
Justin Rose (2017),15.73
William McGirt (2017),15.71
Russell Knox (2017),15.65
Brett Drewitt (2017),15.63
Fabián Gómez (2017),15.63
Geoff Ogilvy (2017),15.54
Charles Howell III (2017),15.5
Brad Fritsch (2017),15.48
Chad Campbell (2017),15.34
Branden Grace (2017),15.31
Tim Wilkinson (2017),15.29
Brett Stegmaier (2017),15.13
Tom Hoge (2017),15
Kevin Kisner (2017),15
Vaughn Taylor (2017),14.88
Boo Weekley (2017),14.73
Tyrone Van Aswegen (2017),14.62
Jimmy Walker (2017),14.56
Keegan Bradley (2017),14.53
Patton Kizzire (2017),14.53
Phil Mickelson (2017),14.49
Ian Poulter (2017),14.29
David Hearn (2017),14.18
Bryce Molder (2017),14.15
Scott Piercy (2017),14
Luke List (2017),13.97
Ryan Palmer (2017),13.73
Patrick Reed (2017),13.67
Anirban Lahiri (2017),13.08
Kevin Tway (2017),12.59
Brandon Hagy (2017),12.23
Spencer Levin (2017),12.23
Jason Bohn (2017),12.17
Nick Watney (2017),12.1
Francesco Molinari (2017),12
Dustin Johnson (2017),11.97
Miguel Angel Carballo (2017),11.9
Kyle Reifers (2017),11.73
Ryan Brehm (2017),11.11
Shawn Stefani (2017),11.02
Hideki Matsuyama (2017),9.09
Daniel Summerhays (2018),28.38
Bryson DeChambeau (2018),27.45
Hideki Matsuyama (2018),27.45
Tiger Woods (2018),27.1
Tyrrell Hatton (2018),26.87
Martin Laird (2018),26.56
J.J. Spaun (2018),26.54
Kiradech Aphibarnrat (2018),26.42
Kevin Na (2018),25.71
Ricky Barnes (2018),25.58
Tom Lovelady (2018),25.56
Vaughn Taylor (2018),25.16
Brandt Snedeker (2018),25
Jimmy Walker (2018),25
Jason Day (2018),24.69
Ben Silverman (2018),24.68
Lucas Glover (2018),24.44
Phil Mickelson (2018),24.43
Conrad Shindler (2018),24.21
Billy Horschel (2018),23.84
Adam Hadwin (2018),23.53
Kevin Chappell (2018),23.53
Peter Malnati (2018),23.13
Sam Saunders (2018),23.13
Michael Thompson (2018),23
Webb Simpson (2018),22.93
Anirban Lahiri (2018),22.86
Danny Lee (2018),22.83
Charl Schwartzel (2018),22.78
David Lingmerth (2018),22.4
Jason Kokrak (2018),22.35
Tommy Fleetwood (2018),22.33
Matt Jones (2018),22.22
Russell Henley (2018),22.05
Ian Poulter (2018),22.02
Charley Hoffman (2018),21.85
Aaron Wise (2018),21.82
Nick Watney (2018),21.74
Retief Goosen (2018),21.74
Zac Blair (2018),21.69
Greg Chalmers (2018),21.69
Chez Reavie (2018),21.55
Kelly Kraft (2018),21.53
J.T. Poston (2018),21.37
Sean O'Hair (2018),21.37
Matt Every (2018),21.36
Ryan Blaum (2018),21.31
Patton Kizzire (2018),21.29
Chesson Hadley (2018),21.26
Jamie Lovemark (2018),21.1
Rickie Fowler (2018),21.01
Seamus Power (2018),21.01
Jon Rahm (2018),21
Graeme McDowell (2018),20.93
Aaron Baddeley (2018),20.81
Denny McCarthy (2018),20.75
Louis Oosthuizen (2018),20.73
D.A. Points (2018),20.59
Brian Harman (2018),20.57
Billy Hurley III (2018),20.54
Alex Cejka (2018),20.49
Harris English (2018),20.44
Brooks Koepka (2018),20.43
Wesley Bryan (2018),20.39
Derek Fathauer (2018),20.18
Xander Schauffele (2018),20.15
Cameron Smith (2018),20
Tyrone Van Aswegen (2018),20
Alex Noren (2018),20
Kevin Tway (2018),19.88
Ollie Schniederjans (2018),19.86
Kyle Stanley (2018),19.85
Michael Kim (2018),19.8
Rod Pampling (2018),19.78
Johnson Wagner (2018),19.77
John Huh (2018),19.76
Rob Oppenheim (2018),19.67
J.J. Henry (2018),19.49
Ryan Armour (2018),19.49
Brian Gay (2018),19.46
Cody Gribble (2018),19.44
Jonathan Byrd (2018),19.39
Branden Grace (2018),19.32
Jonas Blixt (2018),19.32
Ethan Tracy (2018),19.27
Hunter Mahan (2018),19.23
Jason Dufner (2018),19.19
Luke List (2018),19.08
Zach Johnson (2018),19.08
Adam Schenk (2018),19.05
Grayson Murray (2018),19.05
Bud Cauley (2018),19.05
Lanto Griffin (2018),19.01
Ryan Palmer (2018),19.01
Rafa Cabrera Bello (2018),19
Hudson Swafford (2018),18.85
Adam Scott (2018),18.85
Chad Campbell (2018),18.8
Patrick Rodgers (2018),18.79
Matt Kuchar (2018),18.79
Keith Mitchell (2018),18.71
Charles Howell III (2018),18.57
Keegan Bradley (2018),18.5
Kevin Kisner (2018),18.49
Jonathan Randolph (2018),18.45
Jhonattan Vegas (2018),18.42
Jim Furyk (2018),18.39
Patrick Reed (2018),18.26
Andrew Landry (2018),18.24
Nicholas Lindheim (2018),18.18
Robert Streb (2018),18.18
Ben Crane (2018),18.18
Brandon Harkins (2018),18.08
C.T. Pan (2018),18.03
Brian Stuard (2018),17.96
Blayne Barber (2018),17.95
Martin Piller (2018),17.83
Stephan Jaeger (2018),17.69
Cameron Percy (2018),17.65
Austin Cook (2018),17.59
Russell Knox (2018),17.5
Emiliano Grillo (2018),17.5
Rory Sabbatini (2018),17.48
Andrew Yun (2018),17.46
Harold Varner III (2018),17.45
Scott Brown (2018),17.44
Shawn Stefani (2018),17.39
David Hearn (2018),17.36
Pat Perez (2018),17.35
Daniel Berger (2018),17.29
Brice Garnett (2018),17.12
Sam Ryder (2018),17.11
Chris Kirk (2018),17.11
James Hahn (2018),17.05
Brett Stegmaier (2018),17.05
Peter Uihlein (2018),16.94
William McGirt (2018),16.9
Martin Flores (2018),16.79
Si Woo Kim (2018),16.78
Robert Garrigus (2018),16.67
Sung Kang (2018),16.54
Rory McIlroy (2018),16.48
Gary Woodland (2018),16.46
Marc Leishman (2018),16.42
Ben Martin (2018),16.39
Xinjun Zhang (2018),16.35
"Ted Potter, Jr. (2018)",16.35
Dustin Johnson (2018),16.18
Paul Casey (2018),16.16
Mackenzie Hughes (2018),16.15
Scott Stallings (2018),16.15
Talor Gooch (2018),16.1
Dominic Bozzelli (2018),15.97
Shane Lowry (2018),15.96
Matt Atkins (2018),15.94
Ryan Moore (2018),15.91
Cameron Tringale (2018),15.84
Abraham Ancer (2018),15.7
Roberto Díaz (2018),15.69
Kevin Streelman (2018),15.59
Whee Kim (2018),15.58
