Player,Prox to Hole ARG
Tony Finau (2018),7.33
Jason Day (2018),7.33
J.B. Holmes (2018),7.33
Luke List (2018),7.33
Jimmy Walker (2018),7.33
Cameron Percy (2018),7.33
Blayne Barber (2018),7.42
Jordan Spieth (2018),7.42
Adam Hadwin (2018),7.42
Brian Stuard (2018),7.42
Kiradech Aphibarnrat (2018),7.42
Billy Hurley III (2018),7.42
Marc Leishman (2018),7.42
Brian Gay (2018),7.42
Ollie Schniederjans (2018),7.5
Austin Cook (2018),7.5
Stephan Jaeger (2018),7.5
Joel Dahmen (2018),7.5
Byeong Hun An (2018),7.5
William McGirt (2018),7.5
Fabián Gómez (2018),7.5
David Hearn (2018),7.5
Matt Jones (2018),7.5
Jason Dufner (2018),7.5
Charles Howell III (2018),7.5
Stewart Cink (2018),7.5
Charley Hoffman (2018),7.5
Abraham Ancer (2018),7.58
Harold Varner III (2018),7.58
Grayson Murray (2018),7.58
C.T. Pan (2018),7.58
Tyrone Van Aswegen (2018),7.58
Charl Schwartzel (2018),7.58
Vaughn Taylor (2018),7.58
Denny McCarthy (2018),7.67
Richy Werenski (2018),7.67
Shawn Stefani (2018),7.67
Russell Knox (2018),7.67
Hideki Matsuyama (2018),7.67
Derek Fathauer (2018),7.67
Seamus Power (2018),7.67
Sung Kang (2018),7.67
Brian Harman (2018),7.67
Nick Taylor (2018),7.67
Robert Garrigus (2018),7.67
Ben Crane (2018),7.67
Chad Campbell (2018),7.67
Xander Schauffele (2018),7.75
Jon Rahm (2018),7.75
Talor Gooch (2018),7.75
Kelly Kraft (2018),7.75
Roberto Díaz (2018),7.75
James Hahn (2018),7.75
Kevin Tway (2018),7.75
Branden Grace (2018),7.75
Kevin Streelman (2018),7.75
Lucas Glover (2018),7.75
Francesco Molinari (2018),7.75
Ryan Palmer (2018),7.75
Henrik Stenson (2018),7.75
Phil Mickelson (2018),7.75
Keith Mitchell (2018),7.83
Patrick Cantlay (2018),7.83
David Lingmerth (2018),7.83
Jonathan Randolph (2018),7.83
Andrew Putnam (2018),7.83
John Huh (2018),7.83
