Player,Putt <10 % Made
Patton Kizzire (2018),87.97
Blayne Barber (2018),87.96
Tommy Fleetwood (2018),87.96
Kevin Na (2018),87.96
Marc Leishman (2018),87.95
Adam Schenk (2018),87.94
Kevin Streelman (2018),87.9
Kyle Stanley (2018),87.89
Dominic Bozzelli (2018),87.85
Xander Schauffele (2018),87.84
Andrew Putnam (2018),87.84
Richy Werenski (2018),87.83
Jonathan Randolph (2018),87.83
Daniel Summerhays (2018),87.83
Charley Hoffman (2018),87.79
Tony Finau (2018),87.75
Martin Laird (2018),87.75
Michael Kim (2018),87.74
Jason Kokrak (2018),87.73
Chris Stroud (2018),87.72
Steve Wheatcroft (2018),87.72
Ricky Barnes (2018),87.67
Talor Gooch (2018),87.65
Peter Uihlein (2018),87.65
Aaron Baddeley (2018),87.64
Aaron Wise (2018),87.63
David Lingmerth (2018),87.63
Gary Woodland (2018),87.62
Si Woo Kim (2018),87.59
Patrick Cantlay (2018),87.59
Brandt Snedeker (2018),87.58
Sam Saunders (2018),87.57
Henrik Stenson (2018),87.56
Charles Howell III (2018),87.54
D.A. Points (2018),87.51
Zac Blair (2018),87.46
Branden Grace (2018),87.45
Chez Reavie (2018),87.45
John Huh (2018),87.42
Jordan Spieth (2018),87.42
Brian Harman (2018),87.41
Martin Piller (2018),87.4
Kelly Kraft (2018),87.37
Russell Knox (2018),87.34
Jon Rahm (2018),87.33
Brandon Harkins (2018),87.32
Joel Dahmen (2018),87.32
Scott Stallings (2018),87.32
Rafa Cabrera Bello (2018),87.3
Sam Ryder (2018),87.29
Whee Kim (2018),87.28
Anirban Lahiri (2018),87.28
Dustin Johnson (2018),87.26
Jhonattan Vegas (2018),87.25
Robert Streb (2018),87.24
Bill Haas (2018),87.23
Keegan Bradley (2018),87.21
Nick Taylor (2018),87.19
David Hearn (2018),87.15
Tiger Woods (2018),87.11
Harold Varner III (2018),87.1
J.T. Poston (2018),87.09
Ryan Armour (2018),87.09
Adam Hadwin (2018),87.06
Stephan Jaeger (2018),87.04
Pat Perez (2018),87.03
"Ted Potter, Jr. (2018)",87.01
Hideki Matsuyama (2018),86.94
Roberto Díaz (2018),86.92
Russell Henley (2018),86.9
Lucas Glover (2018),86.9
Francesco Molinari (2018),86.89
Jamie Lovemark (2018),86.86
Scott Piercy (2018),86.84
Charl Schwartzel (2018),86.83
Ben Martin (2018),86.82
Troy Merritt (2018),86.79
Jimmy Walker (2018),86.78
Conrad Shindler (2018),86.76
Ryan Moore (2018),86.75
Hudson Swafford (2018),86.74
Kiradech Aphibarnrat (2018),86.74
Adam Scott (2018),86.74
Brooks Koepka (2018),86.66
Martin Flores (2018),86.66
Shane Lowry (2018),86.62
