Player,Avg Ball Speed
J.J. Spaun (2018),167.24
Michael Thompson (2018),167.02
Blayne Barber (2018),166.91
Troy Merritt (2018),166.88
Cameron Percy (2018),166.61
Retief Goosen (2018),166.59
Tyler Duncan (2018),166.51
Rob Oppenheim (2018),166.5
Ben Silverman (2018),166.43
Andrew Landry (2018),166.35
Jonathan Byrd (2018),166.28
Kevin Na (2018),166.28
Si Woo Kim (2018),166.27
Rory Sabbatini (2018),166.25
Austin Cook (2018),166.22
Chris Stroud (2018),166.06
Brett Stegmaier (2018),166.03
Tom Hoge (2018),166
Scott Brown (2018),165.98
Russell Knox (2018),165.97
Chris Kirk (2018),165.84
"Ted Potter, Jr. (2018)",165.76
Zecheng Dou (2018),165.76
Danny Lee (2018),165.68
Ben Martin (2018),165.61
Derek Fathauer (2018),165.6
Brandt Snedeker (2018),165.37
Peter Malnati (2018),165.3
Andrew Yun (2018),165.25
Jonas Blixt (2018),165.21
Satoshi Kodaira (2018),165.13
William McGirt (2018),165.07
Fabián Gómez (2018),165.03
Webb Simpson (2018),164.95
Kevin Kisner (2018),164.87
