Player,Putt 10-15 % Made
Robert Garrigus (2017),24.47
Kevin Chappell (2017),23.83
Rory Sabbatini (2017),23.75
Ryan Palmer (2017),22.45
Rory McIlroy (2017),22.33
Ryo Ishikawa (2017),22.13
Rob Oppenheim (2018),39.46
Phil Mickelson (2018),38.73
Dominic Bozzelli (2018),38.1
Adam Hadwin (2018),37.7
Marc Leishman (2018),37.37
Andrew Putnam (2018),37.31
Jim Furyk (2018),37.3
Cameron Percy (2018),37.17
Whee Kim (2018),36.36
Charles Howell III (2018),36.27
Ben Silverman (2018),36.19
Branden Grace (2018),36
Anirban Lahiri (2018),36
Brett Stegmaier (2018),35.76
Rory Sabbatini (2018),35.71
Chris Stroud (2018),35.33
Peter Malnati (2018),35.32
Nicholas Lindheim (2018),35.15
Rafa Cabrera Bello (2018),35.04
Brian Stuard (2018),35.02
Jason Day (2018),34.81
Beau Hossler (2018),34.52
Aaron Wise (2018),34.45
Graeme McDowell (2018),34.4
Greg Chalmers (2018),34.34
Billy Horschel (2018),34.33
Harris English (2018),34.27
Jimmy Walker (2018),34.13
"Ted Potter, Jr. (2018)",34.13
Troy Merritt (2018),34.12
Emiliano Grillo (2018),33.97
Seamus Power (2018),33.91
Rod Pampling (2018),33.87
Jason Dufner (2018),33.8
Daniel Summerhays (2018),33.64
D.A. Points (2018),33.59
Chez Reavie (2018),33.55
Matt Kuchar (2018),33.53
Dustin Johnson (2018),33.53
Patrick Cantlay (2018),33.5
Webb Simpson (2018),33.47
Jason Kokrak (2018),33.33
Brandon Harkins (2018),33.33
Denny McCarthy (2018),33.33
Rickie Fowler (2018),33.16
Tommy Fleetwood (2018),33.12
Tiger Woods (2018),32.92
Danny Lee (2018),32.88
Hunter Mahan (2018),32.87
Ollie Schniederjans (2018),32.86
Satoshi Kodaira (2018),32.8
Austin Cook (2018),32.68
Tyrrell Hatton (2018),32.65
Kevin Na (2018),32.63
Justin Rose (2018),32.61
Martin Piller (2018),32.4
Brian Gay (2018),32.38
Johnson Wagner (2018),32.37
Michael Thompson (2018),32.21
Ian Poulter (2018),32.14
Charl Schwartzel (2018),32.14
Daniel Berger (2018),32.11
Matt Jones (2018),32.03
Stewart Cink (2018),31.95
Ben Crane (2018),31.93
Gary Woodland (2018),31.92
Russell Henley (2018),31.9
J.T. Poston (2018),31.88
Jordan Spieth (2018),31.71
Patrick Rodgers (2018),31.71
William McGirt (2018),31.63
Cameron Tringale (2018),31.62
Corey Conners (2018),31.58
J.B. Holmes (2018),31.55
Ryan Moore (2018),31.47
Kelly Kraft (2018),31.41
Adam Scott (2018),31.29
Tony Finau (2018),31.25
Jon Rahm (2018),31.25
Brandt Snedeker (2018),31.22
Jonas Blixt (2018),31.2
Bryson DeChambeau (2018),31.19
Shawn Stefani (2018),31.18
Mackenzie Hughes (2018),31.18
Matt Atkins (2018),31.07
Vaughn Taylor (2018),30.96
Brian Harman (2018),30.93
Hudson Swafford (2018),30.88
Steve Wheatcroft (2018),30.77
Byeong Hun An (2018),30.73
Zach Johnson (2018),30.7
Adam Schenk (2018),30.68
Paul Casey (2018),30.65
John Huh (2018),30.64
Brooks Koepka (2018),30.63
Ben Martin (2018),30.61
Tom Lovelady (2018),30.58
David Lingmerth (2018),30.57
Stephan Jaeger (2018),30.56
Justin Thomas (2018),30.43
Ricky Barnes (2018),30.4
C.T. Pan (2018),30.37
Ryan Blaum (2018),30.29
Chesson Hadley (2018),30.25
Jamie Lovemark (2018),30.24
Roberto Díaz (2018),30.07
Alex Noren (2018),30
Sung Kang (2018),29.9
Bud Cauley (2018),29.81
Bronson Burgoon (2018),29.78
Jhonattan Vegas (2018),29.73
Grayson Murray (2018),29.71
Billy Hurley III (2018),29.55
Kyle Stanley (2018),29.51
Richy Werenski (2018),29.47
Wesley Bryan (2018),29.37
Nick Watney (2018),29.33
Fabián Gómez (2018),29.32
Talor Gooch (2018),29.28
Bill Haas (2018),29.24
Bubba Watson (2018),29.19
Russell Knox (2018),29.19
Tom Hoge (2018),29.12
Nick Taylor (2018),29.09
Scott Stallings (2018),29.05
Cameron Smith (2018),28.95
Xinjun Zhang (2018),28.77
Derek Fathauer (2018),28.74
Abraham Ancer (2018),28.69
Hideki Matsuyama (2018),28.65
Lucas Glover (2018),28.57
Martin Flores (2018),28.57
Harold Varner III (2018),28.57
Xander Schauffele (2018),28.5
Jonathan Byrd (2018),28.48
Lanto Griffin (2018),28.31
Conrad Shindler (2018),28.3
Pat Perez (2018),28.29
Rory McIlroy (2018),28.26
Ethan Tracy (2018),28.26
Scott Brown (2018),28.22
Sam Saunders (2018),28.21
J.J. Spaun (2018),28.21
Kiradech Aphibarnrat (2018),28.18
Henrik Stenson (2018),28.13
Zac Blair (2018),27.91
Keith Mitchell (2018),27.8
David Hearn (2018),27.78
Aaron Baddeley (2018),27.65
Tyrone Van Aswegen (2018),27.65
Chris Kirk (2018),27.59
Trey Mullinax (2018),27.59
Kevin Tway (2018),27.27
Andrew Yun (2018),27.27
Michael Kim (2018),27.22
Blayne Barber (2018),27.11
Brendan Steele (2018),27.08
J.J. Henry (2018),27.07
