Player,Avg Approach <100
Russell Henley (2018),17.58
J.J. Spaun (2018),17.58
Rory Sabbatini (2018),17.75
Matt Atkins (2018),17.75
Ethan Tracy (2018),17.75
Cameron Percy (2018),17.83
Sean O'Hair (2018),17.83
Brian Harman (2018),17.83
Seamus Power (2018),17.92
Xinjun Zhang (2018),17.92
Harris English (2018),17.92
Zac Blair (2018),17.92
Alex Noren (2018),18
Matt Every (2018),18
Hideki Matsuyama (2018),18
Shawn Stefani (2018),18
John Huh (2018),18
Jonathan Randolph (2018),18
Roberto Díaz (2018),18
Brooks Koepka (2018),18
Adam Schenk (2018),18
Jhonattan Vegas (2018),18.08
"Ted Potter, Jr. (2018)",18.08
Scott Brown (2018),18.08
Tyrrell Hatton (2018),18.08
Trey Mullinax (2018),18.08
Denny McCarthy (2018),18.08
Kelly Kraft (2018),18.17
Marc Leishman (2018),18.33
Scott Stallings (2018),18.33
Anirban Lahiri (2018),18.33
Patton Kizzire (2018),18.33
Martin Piller (2018),18.33
Beau Hossler (2018),18.33
Matt Kuchar (2018),18.42
Andrew Yun (2018),18.42
Zecheng Dou (2018),18.42
Joel Dahmen (2018),18.5
Stephan Jaeger (2018),18.5
Brendan Steele (2018),18.58
Peter Malnati (2018),18.58
Justin Rose (2018),18.67
Ian Poulter (2018),18.67
Derek Fathauer (2018),18.67
Louis Oosthuizen (2018),18.75
Graeme McDowell (2018),18.83
Jonas Blixt (2018),18.83
Kevin Streelman (2018),18.92
William McGirt (2018),18.92
Kevin Chappell (2018),18.92
Shane Lowry (2018),18.92
Austin Cook (2018),18.92
Fabián Gómez (2018),19.17
Tom Lovelady (2018),19.17
Kyle Thompson (2018),19.25
Chez Reavie (2018),19.33
Kiradech Aphibarnrat (2018),19.33
Lanto Griffin (2018),19.33
J.T. Poston (2018),19.33
Aaron Baddeley (2018),19.42
Luke List (2018),19.42
Keegan Bradley (2018),19.58
Patrick Cantlay (2018),19.58
Talor Gooch (2018),19.67
Patrick Rodgers (2018),19.75
Whee Kim (2018),19.83
Greg Chalmers (2018),19.92
Harold Varner III (2018),20
Tony Finau (2018),20.08
Russell Knox (2018),20.25
Satoshi Kodaira (2018),20.33
Sam Saunders (2018),20.5
Adam Hadwin (2018),20.5
Francesco Molinari (2018),20.67
Chesson Hadley (2018),20.67
Rafa Cabrera Bello (2018),21.08
Bud Cauley (2018),21.33
Cody Gribble (2018),21.42
Lucas Glover (2018),21.5
Kyle Stanley (2018),22.08
D.A. Points (2018),23.33
Hunter Mahan (2018),23.5
Jonathan Byrd (2019),12.5
Pat Perez (2019),13.5
Keegan Bradley (2019),13.75
Kyle Jones (2019),14
Kevin Streelman (2019),14.08
Justin Rose (2019),14.08
Alex Prugh (2019),14.17
Rickie Fowler (2019),14.33
Hideki Matsuyama (2019),14.33
Xander Schauffele (2019),14.33
