Player,Putt >20 % Made
Ryan Blaum (2017),6.16
Tyrone Van Aswegen (2017),6.12
Alex Cejka (2017),6.11
Aaron Baddeley (2017),6.1
Roberto Castro (2017),6.1
Julián Etulain (2017),6.09
Kyle Stanley (2017),6.06
Bryson DeChambeau (2017),6.06
Brandon Hagy (2017),6.05
James Hahn (2017),6.02
Brett Stegmaier (2017),6.02
Kelly Kraft (2017),6.01
Russell Knox (2017),6
Jonathan Randolph (2017),5.96
Cameron Smith (2017),5.93
Branden Grace (2017),5.9
Robert Streb (2017),5.88
Dominic Bozzelli (2017),5.84
Richy Werenski (2017),5.79
Sergio Garcia (2017),5.77
Søren Kjeldsen (2017),5.75
Scott Stallings (2017),5.72
Harold Varner III (2017),5.7
Ian Poulter (2017),5.69
Steven Alker (2017),5.67
Rod Pampling (2017),5.66
Chris Stroud (2017),5.64
Brian Campbell (2017),5.63
Bill Haas (2017),5.61
Ben Crane (2017),5.59
Ken Duke (2017),5.59
Nick Taylor (2017),5.56
Derek Fathauer (2017),5.56
C.T. Pan (2017),5.54
Brad Fritsch (2017),5.53
Mark Anderson (2017),5.51
Charley Hoffman (2017),5.42
Michael Kim (2017),5.4
J.T. Poston (2017),5.38
Ryan Moore (2017),5.04
Rafa Cabrera Bello (2017),4.98
Jim Herman (2017),4.97
Cameron Tringale (2017),4.96
Jhonattan Vegas (2017),4.86
Gary Woodland (2017),4.76
Ryo Ishikawa (2017),4.61
Hudson Swafford (2017),4.59
William McGirt (2017),4.54
J.J. Henry (2017),4.43
Ryan Palmer (2017),4.43
Cameron Percy (2017),4.42
Charl Schwartzel (2017),4.4
Andrew Loupe (2017),4.35
Ollie Schniederjans (2017),4.33
Bud Cauley (2017),4.26
Chad Collins (2017),4.2
Hunter Mahan (2017),3.76
Retief Goosen (2017),3.23
Emiliano Grillo (2018),11.24
Whee Kim (2018),11.14
Dustin Johnson (2018),11.11
Kevin Na (2018),10.54
Brian Harman (2018),10.44
Martin Laird (2018),10.44
Beau Hossler (2018),10.28
Tom Hoge (2018),10.28
Alex Noren (2018),9.88
Brandt Snedeker (2018),9.46
Ben Martin (2018),9.4
Tom Lovelady (2018),9.4
Jonathan Randolph (2018),9.37
Tony Finau (2018),9.27
Justin Thomas (2018),9.19
Wesley Bryan (2018),9.09
Brian Gay (2018),9.01
Brooks Koepka (2018),8.97
Greg Chalmers (2018),8.94
Tommy Fleetwood (2018),8.9
J.T. Poston (2018),8.88
Peter Uihlein (2018),8.84
Billy Hurley III (2018),8.81
Kevin Kisner (2018),8.79
Cody Gribble (2018),8.78
Matt Jones (2018),8.77
Justin Rose (2018),8.74
Ryan Blaum (2018),8.72
Rafa Cabrera Bello (2018),8.71
Michael Thompson (2018),8.7
Harris English (2018),8.63
Ricky Barnes (2018),8.61
Roberto Díaz (2018),8.61
David Hearn (2018),8.58
Troy Merritt (2018),8.58
Harold Varner III (2018),8.54
Zecheng Dou (2018),8.53
Grayson Murray (2018),8.45
Nicholas Lindheim (2018),8.44
Michael Kim (2018),8.44
Joel Dahmen (2018),8.43
Zach Johnson (2018),8.35
Brandon Harkins (2018),8.33
Ben Silverman (2018),8.28
Robert Streb (2018),8.22
Ryan Armour (2018),8.21
Russell Henley (2018),8.2
