Player,Avg Approach >100
Cameron Smith (2018),33.25
Scott Piercy (2018),33.25
Hunter Mahan (2018),33.25
Rory Sabbatini (2018),33.25
Brian Gay (2018),33.25
C.T. Pan (2018),33.25
Scott Stallings (2018),33.33
J.B. Holmes (2018),33.33
Marc Leishman (2018),33.33
D.A. Points (2018),33.33
Zecheng Dou (2018),33.33
Jon Rahm (2018),33.33
Aaron Wise (2018),33.33
Andrew Yun (2018),33.42
Retief Goosen (2018),33.42
Xinjun Zhang (2018),33.5
Harris English (2018),33.5
John Huh (2018),33.5
Austin Cook (2018),33.5
Luke List (2018),33.58
Ben Crane (2018),33.67
Aaron Baddeley (2018),33.67
Andrew Putnam (2018),33.67
Bubba Watson (2018),33.75
Brandt Snedeker (2018),33.75
Peter Malnati (2018),33.75
Zac Blair (2018),33.83
Troy Merritt (2018),33.83
Chris Stroud (2018),33.92
Sean O'Hair (2018),33.92
Patrick Rodgers (2018),33.92
Ethan Tracy (2018),34
Graeme McDowell (2018),34
Brian Harman (2018),34
Matt Jones (2018),34
Seamus Power (2018),34
Charles Howell III (2018),34.08
Jonathan Byrd (2018),34.17
Jhonattan Vegas (2018),34.25
Denny McCarthy (2018),34.25
