Golfer,Year,Player,AvgApproachGT100,AvgApproachLT100,AvgBallSpeed,AvgClubheadSpeed,LaunchAngle,ProxToHoleARG,Putt10_15Made,Putt15_20Made,PuttGT20Made,PuttLT10Made,SandSave,SpinRateOTT,Winner,StrokeAverage
Brian Stuard,2015,Brian Stuard (2015),30.67,17.75,159.25,106.31,11.32,7.33,32.91,24.71,8.1,85.72,50.7,2561.8,1,71.341
Brian Stuard,2016,Brian Stuard (2016),31.67,17.33,157.81,104.54,10.9,7.5,30.06,16.5,6.82,86.96,54.35,2534.6,0,71.242
Brian Stuard,2017,Brian Stuard (2017),31.92,14.5,158.82,105.75,10.93,7.5,34.21,16.41,8.55,85.87,46.43,2664.9,0,71.72
Brian Stuard,2018,Brian Stuard (2018),32.08,17.33,158.74,105.86,11.99,7.42,35.02,17.96,6.62,88.44,48.03,2649.6,0,71.038
Brian Stuard,2019,Brian Stuard (2019),32.25,16.17,160.2,106.41,12.35,6.75,30.3,17.36,8.89,88.78,52.9,2550.5,0,70.999
Brice Garnett,2015,Brice Garnett (2015),32.17,16.42,165.3,110.7,11.42,8.08,33.14,15.87,7.01,87.03,49.58,2467,0,71.453
Brice Garnett,2018,Brice Garnett (2018),32.42,15.83,168.59,112.2,12.24,8.17,26.39,17.12,5.79,88.12,41.43,2520.8,1,71.018
Brice Garnett,2019,Brice Garnett (2019),34.17,15.58,167.29,111.18,10.41,7.83,26.88,15.38,8.29,88.36,44.36,2772.5,0,71.067
Bronson Burgoon,2016,Bronson Burgoon (2016),32.58,18.83,169.42,112.71,11.22,8,28.89,20.51,6.08,87.22,47.71,2484.4,0,71.132
Bronson Burgoon,2018,Bronson Burgoon (2018),32.42,17.42,170.27,113.33,11.72,8.25,29.78,14.85,5.95,88.81,45.95,2390.6,0,70.701
Bronson Burgoon,2019,Bronson Burgoon (2019),31.33,15.67,168.35,111.57,11.39,8.17,28.17,17.89,8.39,86.6,50,2341,0,71.295
Brooks Koepka,2015,Brooks Koepka (2015),30.5,18.92,179.63,122.77,9.22,7.92,31.03,17.91,9.49,89.14,53.68,3000,0,69.861
Brooks Koepka,2016,Brooks Koepka (2016),31.17,16.25,176.68,121.84,9.81,8,32.6,19.09,9.85,87.18,51.75,2623,1,69.956
Brooks Koepka,2017,Brooks Koepka (2017),31.17,16.42,180.03,124.28,11.05,8.08,32.51,22.76,10.99,87.65,48.2,2533.7,1,69.847
Brooks Koepka,2018,Brooks Koepka (2018),29.58,18,180.65,122.42,10.47,6.92,30.63,20.43,8.97,86.66,53.76,2660.4,1,69.444
Brooks Koepka,2019,Brooks Koepka (2019),30.5,16.08,178.89,122.09,10.27,7.25,34.52,17.39,7.27,88.69,58.43,2695.7,1,69.397
Bryce Molder,2015,Bryce Molder (2015),31.92,16.92,160.78,108.64,9.87,6.75,32.7,22.89,7.37,89.04,52.03,2685.3,0,70.779
Bryce Molder,2016,Bryce Molder (2016),34.08,15,162.45,109.89,8.9,6.75,33.53,22.56,6.87,89.46,58.27,2526.9,0,70.901
Bryce Molder,2017,Bryce Molder (2017),35.58,14.5,160.87,109.93,9.26,7.5,29.48,14.15,8.92,88.61,57.24,2777.7,0,71.817
Bryson DeChambeau,2017,Bryson DeChambeau (2017),32.58,16,174.39,117.74,10.02,8.08,34.41,20.9,6.06,85.4,46,2528.8,1,70.866
Bryson DeChambeau,2018,Bryson DeChambeau (2018),31.92,15.92,175.52,117.83,12.06,8.17,31.19,27.45,6.05,88.18,48.67,2696.5,1,69.646
Bryson DeChambeau,2019,Bryson DeChambeau (2019),32.92,17.5,175.4,118.24,11.82,7.33,33.01,20.54,8.49,88.26,52.29,2870.2,1,70.178
Bubba Watson,2015,Bubba Watson (2015),32.17,21,184.54,123.52,8.57,7.5,33.11,21.1,3.9,87.75,46.88,2583.8,1,69.296
Bubba Watson,2016,Bubba Watson (2016),31.33,17.08,182.06,121.63,9.73,8,28.47,18.39,6.41,85.82,47.32,2541.1,0,70.333
Bubba Watson,2017,Bubba Watson (2017),33.58,17.83,179.88,121.46,10.01,8.42,28.05,20.56,6.97,85.99,46.32,2918.3,0,71.175
Bubba Watson,2018,Bubba Watson (2018),33.75,16.92,181.4,121.29,10.07,8.75,29.19,14.69,4.9,88.48,44.2,2955.6,1,70.384
Bubba Watson,2019,Bubba Watson (2019),34.17,21.75,181.19,121.5,9.03,7.75,26.47,13.68,6.8,87.25,49.47,2594.5,0,70.71
Bud Cauley,2017,Bud Cauley (2017),32.42,15.5,168.59,112.76,13.73,7.58,29.88,18.12,4.26,86.29,46.76,2497.8,0,70.432
Bud Cauley,2018,Bud Cauley (2018),34.67,21.33,168.39,112.3,13.42,6.67,29.81,19.05,5.78,89.32,54.37,2552.7,0,71.356
Bud Cauley,2019,Bud Cauley (2019),33.08,16.5,168.27,111.72,11.32,6.42,27.42,13.68,7.46,88.35,56.43,2528.9,0,70.574
Byeong Hun An,2017,Byeong Hun An (2017),34,18.58,172.24,115.41,11.69,7.92,28.83,18.09,6.25,85.81,48.87,2399.4,0,70.887
Byeong Hun An,2018,Byeong Hun An (2018),31.33,15.17,176.22,117.2,12.1,7.5,30.73,14.71,5.9,86.18,48.85,2481.9,0,70.19
Byeong Hun An,2019,Byeong Hun An (2019),31.92,15,175.7,116.56,11.7,6.33,21.95,14.42,7.42,86.89,58.52,2387.7,0,70.48
Byron Smith,2015,Byron Smith (2015),29.42,17.33,170.81,115.48,7.93,7.42,28.8,10.48,4.82,86.36,45,2644.1,0,71.801
C.T. Pan,2017,C.T. Pan (2017),33.5,20.17,165.23,109.85,11.98,7.42,32.2,19.73,5.54,88.01,54.17,2399.3,0,71.109
C.T. Pan,2018,C.T. Pan (2018),33.25,14.83,167.46,111.32,11.48,7.58,30.37,18.03,5.04,88.15,42.07,2697.3,0,70.457
C.T. Pan,2019,C.T. Pan (2019),33.25,18.08,166.27,110.67,10.79,7.33,26.88,11.54,6.73,88.95,57.45,2361.3,0,70.966
Cameron Champ,2019,Cameron Champ (2019),33.75,18.5,190.7,128.01,7.14,8.67,32.94,16.67,7.07,86.9,37.04,2722.3,1,71.393
Cameron Davis,2019,Cameron Davis (2019),33.67,16.83,178.75,118.91,10.78,7.58,23.9,19.49,7.89,86.96,46.81,2864,0,70.985
Cameron Percy,2015,Cameron Percy (2015),31.83,17.08,166.44,112.04,11.6,7.5,20,17.46,8.77,88.28,48.86,2337.8,0,71.039
Cameron Percy,2017,Cameron Percy (2017),32,20.42,165.94,110.84,12.93,8.25,29.08,21.85,4.42,86.23,52.94,2058.3,0,71.03
Cameron Percy,2018,Cameron Percy (2018),31.33,17.83,166.61,111.11,12.21,7.33,37.17,17.65,4.64,86.42,54.79,2216.1,0,70.909
Cameron Smith,2016,Cameron Smith (2016),33.5,12.25,163.92,111.7,10.37,8,26.27,14.1,6.16,87.41,55.34,2652.7,0,71.759
Cameron Smith,2017,Cameron Smith (2017),32.25,16.58,169.03,114.27,10.41,7.08,25.12,21.48,5.93,89.54,49.18,2494.4,0,70.909
Cameron Smith,2018,Cameron Smith (2018),33.25,17.25,169.98,113.45,11.81,7.25,28.95,20,6.51,88.07,56.52,2539.8,0,70.517
Cameron Smith,2019,Cameron Smith (2019),31.83,15.67,168.89,112.03,10.04,6.92,24.84,17.95,7.75,89.22,58.68,2323.1,0,70.814
Cameron Tringale,2015,Cameron Tringale (2015),35,15.67,161.6,108.67,11.97,6.67,29.82,21.94,9.17,87.51,53.47,2721.9,0,70.92
Cameron Tringale,2016,Cameron Tringale (2016),34,15.92,162.97,110.43,10.83,8,29.74,18.84,5.91,86.6,48.57,2656.2,0,71.256
Cameron Tringale,2017,Cameron Tringale (2017),33.58,18.92,163.56,110.85,11.36,6.92,33.33,23.53,4.96,87.65,52.94,2614.8,0,71.343
