Player,StrokeAverage
Jonas Blixt (2017),71.283
D.A. Points (2017),71.315
Tom Hoge (2017),71.326
Julián Etulain (2017),71.338
Cameron Tringale (2017),71.343
Søren Kjeldsen (2017),71.39
Troy Merritt (2017),71.398
Peter Malnati (2017),71.399
Retief Goosen (2017),71.425
Johnson Wagner (2017),71.429
Patrick Rodgers (2017),71.432
Smylie Kaufman (2017),71.432
Alex Cejka (2017),71.461
Boo Weekley (2017),71.476
Aaron Baddeley (2017),71.483
Gonzalo Fernandez-Castaño (2017),71.484
Dominic Bozzelli (2017),71.49
Kelly Kraft (2017),71.491
Mark Anderson (2017),71.5
Spencer Levin (2017),71.516
Derek Fathauer (2017),71.568
Steve Wheatcroft (2017),71.577
Cody Gribble (2017),71.581
Kyle Reifers (2017),71.587
Patton Kizzire (2017),71.598
Fabián Gómez (2017),71.61
K.J. Choi (2017),71.618
Steven Alker (2017),71.638
Jonathan Randolph (2017),71.642
Brian Stuard (2017),71.72
Greg Chalmers (2017),71.758
Chad Collins (2017),71.77
Roberto Castro (2017),71.808
Hunter Mahan (2017),71.811
Bryce Molder (2017),71.817
Brad Fritsch (2017),71.855
Rod Pampling (2017),71.861
Mark Hubbard (2017),71.871
Brian Campbell (2017),71.924
Rick Lamb (2017),71.978
Ryo Ishikawa (2017),71.99
Ken Duke (2017),72.078
Brett Stegmaier (2017),72.115
Brett Drewitt (2017),72.13
Jason Bohn (2017),72.133
Ernie Els (2017),72.179
Nicholas Lindheim (2017),72.205
Si Woo Kim (2017),72.253
Miguel Angel Carballo (2017),72.363
Carl Pettersson (2017),72.419
Matt Every (2017),72.671
Andrew Loupe (2017),72.803
Steven Bowditch (2017),74.4
Dustin Johnson (2018),68.698
Justin Rose (2018),68.993
Justin Thomas (2018),69.118
Webb Simpson (2018),69.293
Rory McIlroy (2018),69.303
Tommy Fleetwood (2018),69.342
Tiger Woods (2018),69.35
Rickie Fowler (2018),69.435
Brooks Koepka (2018),69.444
Tony Finau (2018),69.52
Jason Day (2018),69.603
Henrik Stenson (2018),69.617
Bryson DeChambeau (2018),69.646
Francesco Molinari (2018),69.797
Paul Casey (2018),69.85
